symbol,source_symbol
ADANIENT,ADANIENT.NS
ADANIPORTS,ADANIPORTS.NS
APOLLOHOSP,APOLLOHOSP.NS
ASIANPAINT,ASIANPAINT.NS
AXISBANK,AXISBANK.NS
BAJAJ-AUTO,BAJAJ-AUTO.NS
BAJAJFINSV,BAJAJFINSV.NS
BAJFINANCE,BAJFINANCE.NS
BEL,BEL.NS
BHARTIARTL,BHARTIARTL.NS
CIPLA,CIPLA.NS
COALINDIA,COALINDIA.NS
DRREDDY,DRREDDY.NS
EICHERMOT,EICHERMOT.NS
ETERNAL,ETERNAL.NS
GRASIM,GRASIM.NS
HCLTECH,HCLTECH.NS
HDFCBANK,HDFCBANK.NS
HDFCLIFE,HDFCLIFE.NS
HINDALCO,HINDALCO.NS
HINDUNILVR,HINDUNILVR.NS
ICICIBANK,ICICIBANK.NS
INDIGO,INDIGO.NS
INFY,INFY.NS
ITC,ITC.NS
JIOFIN,JIOFIN.NS
JSWSTEEL,JSWSTEEL.NS
KOTAKBANK,KOTAKBANK.NS
LT,LT.NS
M&M,M&M.NS
MARUTI,MARUTI.NS
MAXHEALTH,MAXHEALTH.NS
NESTLEIND,NESTLEIND.NS
NTPC,NTPC.NS
ONGC,ONGC.NS
POWERGRID,POWERGRID.NS
RELIANCE,RELIANCE.NS
SBILIFE,SBILIFE.NS
SBIN,SBIN.NS
SHRIRAMFIN,SHRIRAMFIN.NS
SUNPHARMA,SUNPHARMA.NS
TATACONSUM,TATACONSUM.NS
TATASTEEL,TATASTEEL.NS
TCS,TCS.NS
TECHM,TECHM.NS
TITAN,TITAN.NS
TMPV,TMPV.NS
TRENT,TRENT.NS
ULTRACEMCO,ULTRACEMCO.NS
WIPRO,WIPRO.NS
